poster_path,title,tagline,release_date,original_language,vote_average,runtime,budget,revenue,return
<img src='http://image.tmdb.org/t/p/w185//kmcqlZGaSh20zpTbuoF0Cdn07dT.jpg' style='height:100px;'>,Avatar,Enter the World of Pandora.,2009-12-10,en,7.2,162.0,237000000.0,2787965087.0,11.763565767932489
<img src='http://image.tmdb.org/t/p/w185//weUSwMdQIa3NaXVzwUoIIcAi85d.jpg' style='height:100px;'>,Star Wars: The Force Awakens,Every generation has a story.,2015-12-15,en,7.5,136.0,245000000.0,2068223624.0,8.44172907755102
<img src='http://image.tmdb.org/t/p/w185//kHXEpyfl6zqn8a6YuozZUujufXf.jpg' style='height:100px;'>,Titanic,Nothing on Earth could come between them.,1997-11-18,en,7.5,194.0,200000000.0,1845034188.0,9.22517094
<img src='http://image.tmdb.org/t/p/w185//cezWGskPY5x7GaglTTRN4Fugfb8.jpg' style='height:100px;'>,The Avengers,Some assembly required.,2012-04-25,en,7.4,143.0,220000000.0,1519557910.0,6.907081409090909
<img src='http://image.tmdb.org/t/p/w185//jjBgi2r5cRt36xF6iNUEhzscEcb.jpg' style='height:100px;'>,Jurassic World,The park is open.,2015-06-09,en,6.5,124.0,150000000.0,1513528810.0,10.090192066666667
<img src='http://image.tmdb.org/t/p/w185//dCgm7efXDmiABSdWDHBDBx2jwmn.jpg' style='height:100px;'>,Furious 7,Vengeance Hits Home,2015-04-01,en,7.3,137.0,190000000.0,1506249360.0,7.927628210526316
<img src='http://image.tmdb.org/t/p/w185//t90Y3G8UGQp0f0DrP60wRu9gfrH.jpg' style='height:100px;'>,Avengers: Age of Ultron,A New Age Has Come.,2015-04-22,en,7.3,141.0,280000000.0,1405403694.0,5.019298907142857
<img src='http://image.tmdb.org/t/p/w185//fTplI1NCSuEDP4ITLcTps739fcC.jpg' style='height:100px;'>,Harry Potter and the Deathly Hallows: Part 2,It all ends here.,2011-07-07,en,7.9,130.0,125000000.0,1342000000.0,10.736
<img src='http://image.tmdb.org/t/p/w185//jIjdFXKUNtdf1bwqMrhearpyjMj.jpg' style='height:100px;'>,Frozen,Only the act of true love will thaw a frozen heart.,2013-11-27,en,7.3,102.0,150000000.0,1274219009.0,8.494793393333333
<img src='http://image.tmdb.org/t/p/w185//tWqifoYuwLETmmasnGHO7xBjEtt.jpg' style='height:100px;'>,Beauty and the Beast,Be our guest.,2017-03-16,en,6.8,129.0,160000000.0,1262886337.0,7.89303960625
<img src='http://image.tmdb.org/t/p/w185//g52r6ZXqRPfRagwsOaorOGWxOk3.jpg' style='height:100px;'>,The Fate of the Furious,Family no more,2017-04-12,en,6.8,136.0,250000000.0,1238764765.0,4.95505906
<img src='http://image.tmdb.org/t/p/w185//1Ilv6ryHUv6rt9zIsbSEJUmmbEi.jpg' style='height:100px;'>,Iron Man 3,Unleash the power behind the armor.,2013-04-18,en,6.8,130.0,200000000.0,1215439994.0,6.07719997
<img src='http://image.tmdb.org/t/p/w185//q0R4crx2SehcEEQEkYObktdeFy.jpg' style='height:100px;'>,Minions,"Before Gru, they had a history of bad bosses",2015-06-17,en,6.4,91.0,74000000.0,1156730962.0,15.631499486486486
<img src='http://image.tmdb.org/t/p/w185//kSBXou5Ac7vEqKd97wotJumyJvU.jpg' style='height:100px;'>,Captain America: Civil War,Divided We Fall,2016-04-27,en,7.1,147.0,250000000.0,1153304495.0,4.61321798
<img src='http://image.tmdb.org/t/p/w185//sZY3ls18QTY0pFBJn2vl2MmauTQ.jpg' style='height:100px;'>,Transformers: Dark of the Moon,The invasion we always feared. An enemy we never expected.,2011-06-28,en,6.1,154.0,195000000.0,1123746996.0,5.762805107692308
<img src='http://image.tmdb.org/t/p/w185//uexxR7Kw1qYbZk0RYaF9Rx5ykbj.jpg' style='height:100px;'>,The Lord of the Rings: The Return of the King,The eye of the enemy is moving.,2003-12-01,en,8.1,201.0,94000000.0,1118888979.0,11.903074244680852
<img src='http://image.tmdb.org/t/p/w185//9qUcmHiPpfTJTacyZyxfGTnSz0V.jpg' style='height:100px;'>,Skyfall,Think on your sins.,2012-10-25,en,6.9,143.0,200000000.0,1108561013.0,5.542805065
<img src='http://image.tmdb.org/t/p/w185//ykIZB9dYBIKV13k5igGFncT5th6.jpg' style='height:100px;'>,Transformers: Age of Extinction,This is not war. It's extinction.,2014-06-25,en,5.8,165.0,210000000.0,1091405097.0,5.1971671285714285
<img src='http://image.tmdb.org/t/p/w185//dEYnvnUfXrqvqeRSqvIEtmzhoA8.jpg' style='height:100px;'>,The Dark Knight Rises,The Legend Ends,2012-07-16,en,7.6,165.0,250000000.0,1084939099.0,4.339756396
<img src='http://image.tmdb.org/t/p/w185//mMltbSxwEdNE4Cv8QYLpzkHWTDo.jpg' style='height:100px;'>,Toy Story 3,No toy gets left behind.,2010-06-16,en,7.6,103.0,200000000.0,1066969703.0,5.334848515
<img src='http://image.tmdb.org/t/p/w185//waFr5RVKaQ9dzOt3nQuIVB1FiPu.jpg' style='height:100px;'>,Pirates of the Caribbean: Dead Man's Chest,Jack is back!,2006-06-20,en,7.0,151.0,200000000.0,1065659812.0,5.32829906
<img src='http://image.tmdb.org/t/p/w185//qjiskwlV1qQzRCjpV0cL9pEMF9a.jpg' style='height:100px;'>,Rogue One: A Star Wars Story,A Rebellion Built on Hope,2016-12-14,en,7.4,133.0,200000000.0,1056057273.0,5.280286365
